Removed Pin From Net: NetName=R\D\ Pin=P6-33
Added Pin To Net: NetName=DB9-5 Pin=P6-A1
Added Pin To Net: NetName=VCC Pin=P6-A2
Added Pin To Net: NetName=D1 Pin=P6-A3
Added Pin To Net: NetName=D3 Pin=P6-A4
Added Pin To Net: NetName=D5 Pin=P6-A5
Added Pin To Net: NetName=D7 Pin=P6-A6
Added Pin To Net: NetName=DB9-5 Pin=P6-A7
Added Pin To Net: NetName=A1 Pin=P6-A8
Added Pin To Net: NetName=A3 Pin=P6-A9
Added Pin To Net: NetName=A5 Pin=P6-A10
Added Pin To Net: NetName=A7 Pin=P6-A11
Added Pin To Net: NetName=A9 Pin=P6-A12
Added Pin To Net: NetName=A11 Pin=P6-A13
Added Pin To Net: NetName=A13 Pin=P6-A14
Added Pin To Net: NetName=A15 Pin=P6-A15
Added Pin To Net: NetName=W\R\ Pin=P6-A18
Added Pin To Net: NetName=DB9-5 Pin=P6-A19
Added Pin To Net: NetName=M\1\ Pin=P6-A20
Added Pin To Net: NetName=DB9-5 Pin=P6-A21
Added Pin To Net: NetName=R\S\T\ Pin=P6-A22
Added Pin To Net: NetName=NMI Pin=P6-A23
Added Pin To Net: NetName=I\O\R\Q\ Pin=P6-A24
Added Pin To Net: NetName=W\A\I\T\ Pin=P6-A25
Added Pin To Net: NetName=VCC Pin=P6-A31
Added Pin To Net: NetName=DB9-5 Pin=P6-A32
Added Pin To Net: NetName=DB9-5 Pin=P6-C1
Added Pin To Net: NetName=VCC Pin=P6-C2
Added Pin To Net: NetName=D0 Pin=P6-C3
Added Pin To Net: NetName=D2 Pin=P6-C4
Added Pin To Net: NetName=D4 Pin=P6-C5
Added Pin To Net: NetName=D6 Pin=P6-C6
Added Pin To Net: NetName=A0 Pin=P6-C7
Added Pin To Net: NetName=A2 Pin=P6-C8
Added Pin To Net: NetName=A4 Pin=P6-C9
Added Pin To Net: NetName=A6 Pin=P6-C10
Added Pin To Net: NetName=A8 Pin=P6-C11
Added Pin To Net: NetName=A10 Pin=P6-C12
Added Pin To Net: NetName=A12 Pin=P6-C13
Added Pin To Net: NetName=A14 Pin=P6-C14
Added Pin To Net: NetName=R\D\ Pin=P6-C17
Added Pin To Net: NetName=I\N\T\ Pin=P6-C22
Added Pin To Net: NetName=M\R\E\Q\ Pin=P6-C23
Added Pin To Net: NetName=H\A\L\T\ Pin=P6-C24
Added Pin To Net: NetName=R\F\S\H\ Pin=P6-C25
Added Pin To Net: NetName=DB9-5 Pin=P6-C26
Added Pin To Net: NetName=B\U\S\R\E\Q\ Pin=P6-C27
Added Pin To Net: NetName=B\U\S\A\C\K\ Pin=P6-C28
Added Pin To Net: NetName=CLK Pin=P6-C29
Added Pin To Net: NetName=VCC Pin=P6-C31
Added Pin To Net: NetName=DB9-5 Pin=P6-C32
